Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count,Weight,Brand
Elizabeth Shaw Chocolate Cappuccino Flutes 105g,£3.85,,https://www.britstore.co.uk/media/catalog/product/cache/2/small_image/225x225/602f0fa2c1f0d1ba5e241f914e856ff9/4/3/4397-1598024235.jpg,images/Elizabeth Shaw Chocolate Cappuccino Flutes 105g4397.jpg,Chocolates,Home > Groceries > Chocolates,Yes,https://www.britstore.co.uk/brit_uk/groceries/chocolates.html,,,
Marks and Spencer Swiss Milk Chocolate Discs 115g Tube,£3.74,,https://www.britstore.co.uk/media/catalog/product/cache/2/small_image/225x225/602f0fa2c1f0d1ba5e241f914e856ff9/4/2/42-1596790947.jpg,images/Marks and Spencer Swiss Milk Chocolate Discs 115g Tube42.jpg,Chocolates,Home > Groceries > Chocolates,Yes,https://www.britstore.co.uk/brit_uk/groceries/chocolates.html,,,
Marks and Spencer Swiss Dark Chocolate Discs 115g Tube,£3.74,,https://www.britstore.co.uk/media/catalog/product/cache/2/small_image/225x225/602f0fa2c1f0d1ba5e241f914e856ff9/1/2/120-1596790933.jpg,images/Marks and Spencer Swiss Dark Chocolate Discs 115g Tube120.jpg,Chocolates,Home > Groceries > Chocolates,Yes,https://www.britstore.co.uk/brit_uk/groceries/chocolates.html,,,
Marks and Spencer Swiss Milk Chocolate with Fruit and Nuts 150g,£3.30,,https://www.britstore.co.uk/media/catalog/product/cache/2/small_image/225x225/602f0fa2c1f0d1ba5e241f914e856ff9/1/2/122-1596790923.jpg,images/Marks and Spencer Swiss Milk Chocolate with Fruit and Nuts 150g122.jpg,Chocolates,Home > Groceries > Chocolates,Yes,https://www.britstore.co.uk/brit_uk/groceries/chocolates.html,,,
Marks and Spencer Swiss Chocolate Dark 125g bar,£3.03,,https://www.britstore.co.uk/media/catalog/product/cache/2/small_image/225x225/602f0fa2c1f0d1ba5e241f914e856ff9/1/2/124-1600954503.jpg,images/Marks and Spencer Swiss Chocolate Dark 125g bar124.jpg,Chocolates,Home > Groceries > Chocolates,Yes,https://www.britstore.co.uk/brit_uk/groceries/chocolates.html,,,
Marks and Spencer Swiss Chocolate Dark Mountain Bar 100g,£2.64,,https://www.britstore.co.uk/media/catalog/product/cache/2/small_image/225x225/602f0fa2c1f0d1ba5e241f914e856ff9/1/3/135-1608215973.jpg,images/Marks and Spencer Swiss Chocolate Dark Mountain Bar 100g135.jpg,Chocolates,Home > Groceries > Chocolates,Yes,https://www.britstore.co.uk/brit_uk/groceries/chocolates.html,,,
Marks and Spencer Swiss Chocolate White Mountain Bar 100g,£2.70,,https://www.britstore.co.uk/media/catalog/product/cache/2/small_image/225x225/602f0fa2c1f0d1ba5e241f914e856ff9/1/3/139-1573455692.jpg,images/Marks and Spencer Swiss Chocolate White Mountain Bar 100g139.jpg,Chocolates,Home > Groceries > Chocolates,Yes,https://www.britstore.co.uk/brit_uk/groceries/chocolates.html,,,
Marks and Spencer Swiss Milk Chocolate Bar 50g,£1.93,,https://www.britstore.co.uk/media/catalog/product/cache/2/small_image/225x225/602f0fa2c1f0d1ba5e241f914e856ff9/1/5/150-1608216010.jpg,images/Marks and Spencer Swiss Milk Chocolate Bar 50g150.jpg,Chocolates,Home > Groceries > Chocolates,Yes,https://www.britstore.co.uk/brit_uk/groceries/chocolates.html,,,
Marks and Spencer Single Origin Ecuador 72% Dark Chocolate Block 100g,£3.30,,https://www.britstore.co.uk/media/catalog/product/cache/2/small_image/225x225/602f0fa2c1f0d1ba5e241f914e856ff9/1/7/171-1583834495.JPG,images/Marks and Spencer Single Origin Ecuador 72% Dark Chocolate Block 100g171.JPG,Chocolates,Home > Groceries > Chocolates,Yes,https://www.britstore.co.uk/brit_uk/groceries/chocolates.html,,,
Marks and Spencer Marzipan bar 36g,£1.98,,https://www.britstore.co.uk/media/catalog/product/cache/2/small_image/225x225/602f0fa2c1f0d1ba5e241f914e856ff9/1/9/197-1581003054.jpg,images/Marks and Spencer Marzipan bar 36g197.jpg,Chocolates,Home > Groceries > Chocolates,Yes,https://www.britstore.co.uk/brit_uk/groceries/chocolates.html,,,
