Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count,Weight
Kingsmill Medium Sliced 50/50 Bread 800g,£1.00,13p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/6528180/1/300x300.jpg,images/Kingsmill Medium Sliced 50_50 Bread 800g_6528180.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,10,
Hovis Seed Sensations Seven Seeds Medium Sliced Seeded Bread 800g,£1.60,20p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/7583476/1/300x300.jpg,images/Hovis Seed Sensations Seven Seeds Medium Sliced Seeded Bread 800g_7583476.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,37,
Hovis Medium Sliced Wholemeal Bread 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2300757/1/300x300.jpg,images/Hovis Medium Sliced Wholemeal Bread 800g_2300757.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,17,
Warburtons Toastie Thick Sliced White Bread 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2256481/1/300x300.jpg,images/Warburtons Toastie Thick Sliced White Bread 800g_2256481.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,37,
Hovis Soft Thick Sliced White Bread 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/4067351/1/300x300.jpg,images/Hovis Soft Thick Sliced White Bread 800g_4067351.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,14,
Hovis Medium Sliced Best of Both Bread 750g,£1.15,15p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/7649054/1/300x300.jpg,images/Hovis Medium Sliced Best of Both Bread 750g_7649054.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,17,
Sainsbury's Medium Sliced Wholemeal Bread 800g,55p,7p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/280457/1/300x300.jpg,images/Sainsbury's Medium Sliced Wholemeal Bread 800g_280457.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,34,
"Sainsbury's Soft Multiseed Farmhouse Thick Sliced Wholemeal Bread, Taste the Difference 800g",£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/1318180/1/300x300.jpg,"images/Sainsbury's Soft Multiseed Farmhouse Thick Sliced Wholemeal Bread, Taste the Difference 800g_1318180.jpg",All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,79,
Warburtons Thick Sliced Seeded Bread 800g,£1.60,20p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/3463505/1/300x300.jpg,images/Warburtons Thick Sliced Seeded Bread 800g_3463505.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,29,
Warburtons Soft Farmhouse Medium Sliced White Bread 800g,£1.35,17p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/3236048/1/300x300.jpg,images/Warburtons Soft Farmhouse Medium Sliced White Bread 800g_3236048.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,13,
Warburtons Medium Sliced Wholemeal Bread 400g,85p,21p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2048178/1/300x300.jpg,images/Warburtons Medium Sliced Wholemeal Bread 400g_2048178.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,19,
Sainsbury's Garlic Baguette x2 420g,£1.00,24p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/678902/1/300x300.jpg,images/Sainsbury's Garlic Baguette x2 420g_678902.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,21,
Sainsbury's Soft Medium Sliced White Bread 800g,55p,7p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/14137/1/300x300.jpg,images/Sainsbury's Soft Medium Sliced White Bread 800g_14137.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,23,
Warburtons Medium Sliced White Bread 800g,£1.10,14p / 100 g,https://assets.sainsburys-groceries.co.uk/gol/2046136/1/300x300.jpg,images/Warburtons Medium Sliced White Bread 800g_2046136.jpg,All bread,Bakery > Bread > All bread,Yes,https://www.sainsburys.co.uk/webapp/wcs/stores/servlet/CategoryDisplay?storeId=10151&langId=44&krypto=tOD1Oblbz%2B5Uwt92RaBkG%2Fna3ipwZS6dQ0l7y8pW4gvdBITe4aZHoPVTVZm8W%2FF1zo3ZqOLpsEinr86N5wlFIjCD8YD0dVT%2Fiv785NzoCyTQW%2Fy33sN1ocq9G23bau8YUBCsZ0r0VRgaHTHf3zHqSOPCN9w0V0AP1XbnFjyHb4g%3D&ddkey=https%3Agb%2Fgroceries%2Fbakery%2Fall-bread,24,
