Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count,Weight
Morrisons Mackerel Fillets In Tomato Sauce ,£ 0.95,£ 0.76 per 100g,https://www.ocado.com/productImages/247/247428011_0_640x640.jpg,images/Morrisons Mackerel Fillets In Tomato Sauce _247428011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Mackerel & Kippers ",Yes,https://www.ocado.com/products/247428011,5,125g
John West Tuna Chunks In Sunflower Oil ,£ 2.99,£ 0.516 per 100g,https://www.ocado.com/productImages/456/456005011_0_640x640.jpg,images/John West Tuna Chunks In Sunflower Oil _456005011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://www.ocado.com/products/456005011,,4 x 145g
Morrisons Anchovy In Olive Oil Garlic and Herb,£ 0.85,£ 1.7 per 100g,https://www.ocado.com/productImages/270/270429011_0_640x640.jpg,images/Morrisons Anchovy In Olive Oil Garlic and Herb_270429011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Anchovies",Yes,https://www.ocado.com/products/270429011,4,50g
Morrisons Sardines In Olive Oil (120g),£ 0.4,£ 0.444 per 100g,https://www.ocado.com/productImages/430/430124011_0_640x640.jpg,images/Morrisons Sardines In Olive Oil (120g)_430124011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Sardines & Pilchards",Yes,https://www.ocado.com/products/430124011,3,90g
John West Mexican Tuna Spreadables ,£ 1.0,£ 1.25 per 100g,https://www.ocado.com/productImages/271/271965011_0_640x640.jpg,images/John West Mexican Tuna Spreadables _271965011.jpg,Fish,"Food Cupboard>Tins, Cans & Packets>Fish>Tuna",Yes,https://www.ocado.com/products/271965011,1,80g
Princes Mackerel Sizzle Tomato & Herb,£ 1.5,£ 0.9343 per 100g,https://www.ocado.com/productImages/479/479798011_0_640x640.jpg,images/Princes Mackerel Sizzle Tomato & Herb_479798011.jpg,Fish,Food Cupboard>Princes Shop - Sponsored>Mid Week Meals,Yes,https://www.ocado.com/products/479798011,3,160g
