Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count
Lindt Lindor Truffles,£ 5.0,£ 2.5 per 100g,https://www.ocado.com/productImages/207/20717011_0_640x640.jpg,images/Lindt Lindor Truffles.jpg,Food Cupboard,Food Cupboard>Chocolate & Sweets>Chocolate>Boxes & Gifts>Milk Chocolates,Yes,https://www.ocado.com/products/20717011,10
Walkers Oven Baked Sea Salt Snacks 25g x ,£ 1.5,£ 0.25 each,https://www.ocado.com/productImages/328/32869011_0_640x640.jpg,images/Walkers Oven Baked Sea Salt Snacks 25g x .jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Multipack Crisps>Single Flavour",Yes,https://www.ocado.com/products/32869011,25
Bahlsen Choco Leibniz Dark Chocolate Biscuits,£ 1.49,£ 1.19 per 100g,https://www.ocado.com/productImages/114/11419011_0_640x640.jpg,images/Bahlsen Choco Leibniz Dark Chocolate Biscuits.jpg,Food Cupboard,Food Cupboard>Biscuits>Chocolate Biscuits>Premium,Yes,https://www.ocado.com/products/11419011,24
Kettle Chips Crispy Bacon & Maple Syrup,£ 1.99,£ 1.33 per 100g,https://www.ocado.com/productImages/294/294003011_0_640x640.jpg,images/Kettle Chips Crispy Bacon & Maple Syrup.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Treats>Snacks",Yes,https://www.ocado.com/products/294003011,47
Sensations Roasted Chicken & Thyme Crisps,£ 0.99,£ 0.6617 per 100g,https://www.ocado.com/productImages/444/44471011_0_640x640.jpg,images/Sensations Roasted Chicken & Thyme Crisps.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Crisps for Sharing>Big Bags",Yes,https://www.ocado.com/products/44471011,28
Kellogg's Fruit 'n Fibre,£ 3.0,£ 0.429 per 100g,https://www.ocado.com/productImages/100/10022011_0_640x640.jpg,images/Kellogg's Fruit 'n Fibre.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Breakfast>Cereal",Yes,https://www.ocado.com/products/10022011,14
Ferrero Rocher 24 Pieces,£ 6.5,£ 2.1694 per 100g,https://www.ocado.com/productImages/122/12262011_0_640x640.jpg,images/Ferrero Rocher 24 Pieces.jpg,Food Cupboard,Food Cupboard>Chocolate & Sweets>Chocolate>Boxes & Gifts>Large Gift Boxes,Yes,https://www.ocado.com/products/12262011,8
Walkers Squares Salt & Vinegar Snacks 22g x,£ 1.5,£ 0.25 each,https://www.ocado.com/productImages/900/90038011_0_640x640.jpg,images/Walkers Squares Salt & Vinegar Snacks 22g x.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Multipack Crisps>Single Flavour",Yes,https://www.ocado.com/products/90038011,8
M&S Colin The Caterpillar Candy Cane Fruit Gums,£ 1.1,£ 0.7333 per 100g,https://www.ocado.com/productImages/514/514881011_0_640x640.jpg,images/M&S Colin The Caterpillar Candy Cane Fruit Gums.jpg,Food Cupboard,Christmas Clearance>Sweets & Chocolate,Yes,https://www.ocado.com/products/514881011,14
KP Dry Roasted Peanuts,£ 2.0,£ 0.8 per 100g,https://www.ocado.com/productImages/260/26067011_0_640x640.jpg,images/KP Dry Roasted Peanuts.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Nuts & Seeds>Nuts>Peanuts>Roasted",Yes,https://www.ocado.com/products/26067011,46
